bid,bname,taxa,
ENA|FR775242|FR775242.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 55 [11-NOV-2016],Salmonella enterica,
ENA|FR775243|FR775243.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 56 [11-NOV-2016],Salmonella enterica,
ENA|FR775244|FR775244.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 57 [11-NOV-2016],Salmonella enterica,
ENA|FR775245|FR775245.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 58 [11-NOV-2016],Salmonella enterica,
ENA|FR775246|FR775246.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 59 [11-NOV-2016],Salmonella enterica,
ENA|FR775247|FR775247.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 60 [11-NOV-2016],Salmonella enterica,
ENA|FR775248|FR775248.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 61 [11-NOV-2016],Salmonella enterica,
ENA|FR775249|FR775249.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 62 [11-NOV-2016],Salmonella enterica,
ENA|FR775250|FR775250.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 63 [11-NOV-2016],Salmonella enterica,
ENA|FR775251|FR775251.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 64 [11-NOV-2016],Salmonella enterica,
ENA|FR775252|FR775252.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 65 [11-NOV-2016],Salmonella enterica,
ENA|FR775253|FR775253.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 66 [11-NOV-2016],Salmonella enterica,
ENA|FR775255|FR775255.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 whole genome shotgun sequence plasmid pSW82 complete sequence contig 68 [11-NOV-2016],Salmonella enterica,
ENA|FR775217|FR775217.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1 complete genome contig 30 [11-NOV-2016],Salmonella enterica,
ENA|CP001819|CP001819.1,Sanguibacter keddieii DSM 10542 complete genome. [24-FEB-2017],Sanguibacter keddieii,
ENA|CP002831|CP002831.1,Saprospira grandis str. Lewin complete genome. [24-FEB-2017],Saprospira grandis,
ENA|AP012334|AP012334.1,Scardovia inopinata JCM 12537 DNA complete genome. [11-NOV-2016],Scardovia inopinata,
ENA|CP001739|CP001739.1,Sebaldella termitidis ATCC 33386 complete genome. [24-FEB-2017],Sebaldella termitidis,
ENA|CP001958|CP001958.1,Segniliparus rotundus DSM 44985 complete genome. [24-FEB-2017],Segniliparus rotundus,
ENA|AP012292|AP012292.1,Selenomonas ruminantium subsp. lactilytica TAM6421 DNA complete genome. [24-FEB-2017],Selenomonas ruminantium,
ENA|CP002637|CP002637.1,Selenomonas sputigena ATCC 35185 complete genome. [24-FEB-2017],Selenomonas sputigena,
ENA|CP011303|CP011303.1,Serratia liquefaciens strain HUMV-21 complete genome. [11-NOV-2016],Serratia liquefaciens,
ENA|CP006252|CP006252.1,Serratia liquefaciens ATCC 27592 complete genome. [11-NOV-2016],Serratia liquefaciens,
ENA|CP003942|CP003942.1,Serratia marcescens FGI94 complete genome. [24-FEB-2017],Serratia marcescens,
ENA|AP013063|AP013063.1,Serratia marcescens SM39 DNA complete genome. [28-JAN-2017],Serratia marcescens,
ENA|HG326223|HG326223.1,Serratia marcescens subsp. marcescens Db11 complete genome [24-FEB-2017],Serratia marcescens,
ENA|CP003959|CP003959.1,Serratia marcescens WW4 complete genome. [11-NOV-2016],Serratia marcescens,
ENA|CP006250|CP006250.1,Serratia plymuthica 4Rx13 complete genome. [24-FEB-2017],Serratia plymuthica,
ENA|CP002773|CP002773.1,Serratia plymuthica AS9 complete genome. [24-FEB-2017],Serratia plymuthica,
ENA|CP006566|CP006566.1,Serratia plymuthica S13 complete genome. [24-FEB-2017],Serratia plymuthica,
ENA|CP000826|CP000826.1,Serratia proteamaculans 568 complete genome. [24-FEB-2017],Serratia proteamaculans,
ENA|CP002774|CP002774.1,Serratia sp. AS12 complete genome. [24-FEB-2017],Serratia sp. AS12,
ENA|CP002775|CP002775.1,Serratia sp. AS13 complete genome. [24-FEB-2017],Serratia sp. AS13,
ENA|CP003424|CP003424.1,Serratia sp. SCBI complete genome. [11-NOV-2016],Serratia sp. SCBI,
ENA|CP002295|CP002295.1,Serratia symbiotica str. 'Cinara cedri' complete genome. [24-FEB-2017],Serratia symbiotica,
ENA|CP000507|CP000507.1,Shewanella amazonensis SB2B complete genome. [24-FEB-2017],Shewanella amazonensis,
ENA|CP002767|CP002767.1,Shewanella baltica BA175 complete genome. [24-FEB-2017],Shewanella baltica,
ENA|CP002811|CP002811.1,Shewanella baltica OS117 complete genome. [13-NOV-2015],Shewanella baltica,
ENA|CP000563|CP000563.1,Shewanella baltica OS155 complete genome. [24-FEB-2017],Shewanella baltica,
ENA|CP000753|CP000753.1,Shewanella baltica OS185 complete genome. [24-FEB-2017],Shewanella baltica,
ENA|CP000891|CP000891.1,Shewanella baltica OS195 complete genome. [24-FEB-2017],Shewanella baltica,
ENA|CP001252|CP001252.1,Shewanella baltica OS223 complete genome. [24-FEB-2017],Shewanella baltica,
ENA|CP002383|CP002383.1,Shewanella baltica OS678 complete genome. [13-NOV-2015],Shewanella baltica,
ENA|CP000302|CP000302.1,Shewanella denitrificans OS217 complete genome. [24-FEB-2017],Shewanella denitrificans,
ENA|CP000447|CP000447.1,Shewanella frigidimarina NCIMB 400 complete genome. [24-FEB-2017],Shewanella frigidimarina,
ENA|CP000931|CP000931.1,Shewanella halifaxensis HAW-EB4 complete genome. [24-FEB-2017],Shewanella halifaxensis,
ENA|CP000606|CP000606.1,Shewanella loihica PV-4 complete genome. [24-FEB-2017],Shewanella loihica,
ENA|AE014299|AE014299.2,Shewanella oneidensis MR-1 complete genome. [24-FEB-2017],Shewanella oneidensis,
ENA|CP000851|CP000851.1,Shewanella pealeana ATCC 700345 complete genome. [24-FEB-2017],Shewanella pealeana,
ENA|CP000472|CP000472.1,Shewanella piezotolerans WP3 complete genome. [24-FEB-2017],Shewanella piezotolerans,
ENA|CP002457|CP002457.1,Shewanella putrefaciens 200 complete genome. [04-MAY-2017],Shewanella putrefaciens,
ENA|CP000681|CP000681.1,Shewanella putrefaciens CN-32 complete genome. [24-FEB-2017],Shewanella putrefaciens,
ENA|CP000821|CP000821.1,Shewanella sediminis HAW-EB3 complete genome. [24-FEB-2017],Shewanella sediminis,
ENA|CP000469|CP000469.1,Shewanella sp. ANA-3 chromosome 1 complete sequence. [24-FEB-2017],Shewanella sp. ANA-3,
ENA|CP000446|CP000446.1,Shewanella sp. MR-4 complete genome. [24-FEB-2017],Shewanella sp. MR-4,
ENA|CP000444|CP000444.1,Shewanella sp. MR-7 complete genome. [24-FEB-2017],Shewanella sp. MR-7,
ENA|CP000503|CP000503.1,Shewanella sp. W3-18-1 complete genome. [24-FEB-2017],Shewanella sp. W3-18-1,
ENA|AP011177|AP011177.1,Shewanella violacea DSS12 DNA complete genome. [24-FEB-2017],Shewanella violacea,
ENA|CP000961|CP000961.1,Shewanella woodyi ATCC 51908 complete genome. [01-MAY-2017],Shewanella woodyi,
ENA|CP001063|CP001063.1,Shigella boydii CDC 3083-94 complete genome. [24-FEB-2017],Shigella boydii,
ENA|CP000036|CP000036.1,Shigella boydii Sb227 complete genome. [24-FEB-2017],Shigella boydii,
ENA|CP000034|CP000034.1,Shigella dysenteriae Sd197 complete genome. [24-FEB-2017],Shigella dysenteriae,
ENA|AE005674|AE005674.2,Shigella flexneri 2a str. 301 complete genome. [24-FEB-2017],Shigella flexneri,
ENA|AE014073|AE014073.1,Shigella flexneri 2a str. 2457T complete genome. [24-FEB-2017],Shigella flexneri,
ENA|CP000266|CP000266.1,Shigella flexneri 5 str. 8401 complete genome. [24-FEB-2017],Shigella flexneri,
ENA|CP001383|CP001383.1,Shigella flexneri 2002017 complete genome. [24-FEB-2017],Shigella flexneri,
ENA|HE616528|HE616528.1,Shigella sonnei 53G main chromosome complete genome [11-NOV-2016],Shigella sonnei,
ENA|CP000038|CP000038.1,Shigella sonnei Ss046 complete genome. [24-FEB-2017],Shigella sonnei,
ENA|CP001560|CP001560.1,Shimwellia blattae DSM 4481 = NBRC 105725 complete genome. [18-MAR-2017],Shimwellia blattae,
ENA|CP007202|CP007202.1,Siansivirga zeaxanthinifaciens CC-SAMT-1 complete genome. [24-FEB-2017],Siansivirga zeaxanthinifaciens,
ENA|KJ466049|KJ466049.1,Sida yellow vein China alphasatellite isolate K30 complete genome. [29-MAY-2015],Sida yellow vein China alphasatellite,
ENA|KJ466050|KJ466050.1,Sida yellow vein China alphasatellite isolate K32 complete genome. [29-MAY-2015],Sida yellow vein China alphasatellite,
ENA|CP001965|CP001965.1,Sideroxydans lithotrophicus ES-1 complete genome. [24-FEB-2017],Sideroxydans lithotrophicus,
ENA|CP003746|CP003746.2,Simiduia agarivorans SA1 = DSM 21679 complete genome. [24-FEB-2017],Simiduia agarivorans,
ENA|FR872582|FR872582.1,Simkania negevensis Z main chromosome complete genome [24-FEB-2017],Simkania negevensis,
ENA|CP003364|CP003364.1,Singulisphaera acidiphila DSM 18658 complete genome. [24-FEB-2017],Singulisphaera acidiphila,
ENA|HE616890|HE616890.1,Sinorhizobium fredii HH103 main chromosome complete sequence [24-FEB-2017],Sinorhizobium fredii,
ENA|CP001389|CP001389.1,Sinorhizobium fredii NGR234 complete genome. [24-FEB-2017],Sinorhizobium fredii,
ENA|CP003563|CP003563.1,Sinorhizobium fredii USDA 257 complete genome. [24-FEB-2017],Sinorhizobium fredii,
ENA|CP000738|CP000738.1,Sinorhizobium medicae WSM419 complete genome. [24-FEB-2017],Sinorhizobium medicae,
ENA|CP009144|CP009144.1,Sinorhizobium meliloti strain RMO17 complete genome. [13-NOV-2015],Sinorhizobium meliloti,
ENA|AL591688|AL591688.1,Sinorhizobium meliloti 1021 complete chromosome [24-FEB-2017],Sinorhizobium meliloti,
ENA|CP004140|CP004140.1,Sinorhizobium meliloti 2011 complete genome. [24-FEB-2017],Sinorhizobium meliloti,
ENA|CP002781|CP002781.1,Sinorhizobium meliloti AK83 chromosome 1 complete sequence. [23-JUN-2016],Sinorhizobium meliloti,
ENA|CP002782|CP002782.1,Sinorhizobium meliloti AK83 chromosome 2 complete sequence. [23-JUN-2016],Sinorhizobium meliloti,
ENA|CP002783|CP002783.1,Sinorhizobium meliloti AK83 chromosome 3 complete sequence. [23-JUN-2016],Sinorhizobium meliloti,
ENA|CP002740|CP002740.1,Sinorhizobium meliloti BL225C complete genome. [24-FEB-2017],Sinorhizobium meliloti,
ENA|CP003933|CP003933.2,Sinorhizobium meliloti GR4 complete genome. [19-NOV-2015],Sinorhizobium meliloti,
ENA|HE995405|HE995405.1,Sinorhizobium meliloti Rm41 complete genome [13-NOV-2015],Sinorhizobium meliloti,
ENA|CP001830|CP001830.1,Sinorhizobium meliloti SM11 complete genome. [24-FEB-2017],Sinorhizobium meliloti,
ENA|CP001684|CP001684.1,Slackia heliotrinireducens DSM 20476 complete genome. [24-FEB-2017],Slackia heliotrinireducens,
ENA|CP007446|CP007446.1,Snodgrassella alvi wkB2 complete genome. [24-FEB-2017],Snodgrassella alvi,
ENA|AP008232|AP008232.1,Sodalis glossinidius str. 'morsitans' DNA complete genome. [24-FEB-2017],Sodalis glossinidius,
ENA|CP006569|CP006569.1,Sodalis praecaptivus strain HS1 complete genome. [24-FEB-2017],Sodalis praecaptivus,
ENA|AP012157|AP012157.1,Solibacillus silvestris StLB046 DNA complete genome. [24-FEB-2017],Solibacillus silvestris,
ENA|CP003349|CP003349.1,Solitalea canadensis DSM 3403 complete genome. [24-FEB-2017],Solitalea canadensis,
ENA|CP003969|CP003969.1,Sorangium cellulosum So0157-2 complete genome. [24-FEB-2017],Sorangium cellulosum,
ENA|AM746676|AM746676.1,Sorangium cellulosum 'So ce 56' complete genome [24-FEB-2017],Sorangium cellulosum,
ENA|CP001823|CP001823.1,Sphaerobacter thermophilus DSM 20745 chromosome 1 complete sequence. [24-FEB-2017],Sphaerobacter thermophilus,
ENA|CP001824|CP001824.1,Sphaerobacter thermophilus DSM 20745 chromosome 2 complete sequence. [24-FEB-2017],Sphaerobacter thermophilus,
ENA|CP002659|CP002659.1,Sphaerochaeta coccoides DSM 17374 complete genome. [24-FEB-2017],Sphaerochaeta coccoides,
ENA|CP002541|CP002541.1,Sphaerochaeta globosa str. Buddy complete genome. [24-FEB-2017],Sphaerochaeta globosa,
ENA|CP003155|CP003155.1,Sphaerochaeta pleomorpha str. Grapes complete genome. [24-FEB-2017],Sphaerochaeta pleomorpha,
ENA|CP002584|CP002584.1,Sphingobacterium sp. 21 complete genome. [24-FEB-2017],Sphingobacterium sp. 21,
ENA|CP009278|CP009278.1,Sphingobacterium sp. ML3W complete genome. [24-FEB-2017],Sphingobacterium sp. ML3W,
ENA|CP002798|CP002798.1,Sphingobium chlorophenolicum L-1 chromosome 1 complete sequence. [24-FEB-2017],Sphingobium chlorophenolicum,
ENA|CP002799|CP002799.1,Sphingobium chlorophenolicum L-1 chromosome 2 complete sequence. [24-FEB-2017],Sphingobium chlorophenolicum,
ENA|AP010803|AP010803.1,Sphingobium japonicum UT26S DNA chromosome 1 complete genome. [24-FEB-2017],Sphingobium japonicum,
ENA|AP010804|AP010804.1,Sphingobium japonicum UT26S DNA chromosome 2 complete genome. [24-FEB-2017],Sphingobium japonicum,
ENA|AP012222|AP012222.1,Sphingobium sp. SYK-6 DNA complete genome. [24-FEB-2017],Sphingobium sp. SYK-6,
ENA|CP010954|CP010954.1,Sphingobium sp. YBL2 complete genome. [24-FEB-2017],Sphingobium sp. YBL2,
ENA|CP006644|CP006644.1,Sphingomonas sanxanigenens NX02 complete genome. [24-FEB-2017],Sphingomonas sanxanigenens,
ENA|CP004036|CP004036.1,Sphingomonas sp. MM-1 complete genome. [24-FEB-2017],Sphingomonas sp. MM-1,
ENA|CP009571|CP009571.1,Sphingomonas taxi strain ATCC 55669 complete genome. [24-FEB-2017],Sphingomonas taxi,
ENA|CP000699|CP000699.1,Sphingomonas wittichii RW1 complete genome. [24-FEB-2017],Sphingomonas wittichii,
ENA|CP000356|CP000356.1,Sphingopyxis alaskensis RB2256 complete genome. [24-FEB-2017],Sphingopyxis alaskensis,
ENA|CP003282|CP003282.1,Spirochaeta africana DSM 8902 complete genome. [24-FEB-2017],Spirochaeta africana,
ENA|CP002116|CP002116.1,Spirochaeta smaragdinae DSM 11293 complete genome. [24-FEB-2017],Spirochaeta smaragdinae,
ENA|CP001698|CP001698.1,Spirochaeta thermophila DSM 6192 complete genome. [24-FEB-2017],Spirochaeta thermophila,
ENA|CP002903|CP002903.1,Spirochaeta thermophila DSM 6578 complete genome. [24-FEB-2017],Spirochaeta thermophila,
ENA|CP006682|CP006682.1,Spiroplasma apis B31 complete genome. [24-FEB-2017],Spiroplasma apis,
ENA|CP005077|CP005077.1,Spiroplasma chrysopicola DF-1 complete genome. [24-FEB-2017],Spiroplasma chrysopicola,
ENA|CP006681|CP006681.1,Spiroplasma culicicola AES-1 complete genome. [24-FEB-2017],Spiroplasma culicicola,
ENA|CP005076|CP005076.1,Spiroplasma diminutum CUAS-1 complete genome. [24-FEB-2017],Spiroplasma diminutum,
ENA|CP002082|CP002082.1,Spiroplasma mirum ATCC 29335 complete genome. [27-FEB-2016],Spiroplasma mirum,
ENA|CP006720|CP006720.1,Spiroplasma mirum ATCC 29335 strain SMCA complete genome. [24-FEB-2017],Spiroplasma mirum,
ENA|CP006934|CP006934.1,Spiroplasma sabaudiense Ar-1343 complete genome. [24-FEB-2017],Spiroplasma sabaudiense,
ENA|CP005078|CP005078.1,Spiroplasma syrphidicola EA-1 complete genome. [24-FEB-2017],Spiroplasma syrphidicola,
ENA|CP005074|CP005074.1,Spiroplasma taiwanense CT-1 complete genome. [24-FEB-2017],Spiroplasma taiwanense,
ENA|CP001769|CP001769.1,Spirosoma linguale DSM 74 complete genome. [24-FEB-2017],Spirosoma linguale,
ENA|CP010429|CP010429.1,Spirosoma radiotolerans strain DG5A complete genome. [24-FEB-2017],Spirosoma radiotolerans,
ENA|CP001778|CP001778.1,Stackebrandtia nassauensis DSM 44728 complete genome. [24-FEB-2017],Stackebrandtia nassauensis,
ENA|CP003653|CP003653.1,Stanieria cyanosphaera PCC 7437 complete genome. [24-FEB-2017],Stanieria cyanosphaera,
ENA|CP007539|CP007539.1,Staphylococcus aureus strain NRS 100 complete genome. [09-SEP-2016],Staphylococcus aureus,
ENA|CP007447|CP007447.1,Staphylococcus aureus strain XN108 complete genome. [27-MAY-2016],Staphylococcus aureus,
ENA|CP007499|CP007499.1,Staphylococcus aureus strain 2395 USA500 complete genome. [09-SEP-2016],Staphylococcus aureus,
ENA|CP007454|CP007454.1,Staphylococcus aureus strain 502A complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP007690|CP007690.1,Staphylococcus aureus strain UA-S391_USA300 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010299|CP010299.1,Staphylococcus aureus strain 25b_MRSA complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010298|CP010298.1,Staphylococcus aureus strain 26b_MRSA complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010300|CP010300.1,Staphylococcus aureus strain 27b_MRSA complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010295|CP010295.1,Staphylococcus aureus strain 29b_MRSA complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010296|CP010296.1,Staphylococcus aureus strain 31b_MRSA complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP010297|CP010297.1,Staphylococcus aureus strain 33b complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP011147|CP011147.1,Staphylococcus aureus strain FCFHV36 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|LN626917|LN626917.1,Staphylococcus aureus strain ILRI_Eymole1/1 genome assembly chromosome: I [09-SEP-2016],Staphylococcus aureus,
ENA|CP001844|CP001844.2,Staphylococcus aureus 04-02981 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP003808|CP003808.1,Staphylococcus aureus 08BA02176 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP005288|CP005288.1,Staphylococcus aureus Bmb9393 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP006044|CP006044.1,Staphylococcus aureus CA-347 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|HF937103|HF937103.1,Staphylococcus aureus M1 complete genome [27-FEB-2016],Staphylococcus aureus,
ENA|AJ938182|AJ938182.1,Staphylococcus aureus RF122 complete genome [24-FEB-2017],Staphylococcus aureus,
ENA|AP014652|AP014652.1,Staphylococcus aureus subsp. aureus DNA complete genome strain: TMUS2126. [11-NOV-2016],Staphylococcus aureus,
ENA|AP014653|AP014653.1,Staphylococcus aureus subsp. aureus DNA complete genome strain: TMUS2134. [11-NOV-2016],Staphylococcus aureus,
ENA|CP007659|CP007659.1,Staphylococcus aureus subsp. aureus strain H-EMRSA-15 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP009361|CP009361.1,Staphylococcus aureus subsp. aureus strain ATCC 25923 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP009554|CP009554.1,Staphylococcus aureus subsp. aureus strain FORC_001 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP009681|CP009681.1,Staphylococcus aureus subsp. aureus strain Gv69 complete genome. [09-SEP-2016],Staphylococcus aureus,
ENA|CP002388|CP002388.1,Staphylococcus aureus subsp. aureus 55/2053 complete genome. [27-MAY-2016],Staphylococcus aureus,
ENA|CP006706|CP006706.1,Staphylococcus aureus subsp. aureus 6850 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP003194|CP003194.1,Staphylococcus aureus subsp. aureus 11819-97 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP003045|CP003045.1,Staphylococcus aureus subsp. aureus 71193 genome. [08-MAY-2017],Staphylococcus aureus,
ENA|CP003979|CP003979.1,Staphylococcus aureus subsp. aureus CN1 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP000046|CP000046.1,Staphylococcus aureus subsp. aureus COL complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|FR714927|FR714927.1,Staphylococcus aureus subsp. aureus ECT-R 2 complete genome [09-SEP-2016],Staphylococcus aureus,
ENA|CP001781|CP001781.1,Staphylococcus aureus subsp. aureus ED98 complete genome. [27-MAY-2016],Staphylococcus aureus,
ENA|CP001996|CP001996.1,Staphylococcus aureus subsp. aureus ED133 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|HE681097|HE681097.1,Staphylococcus aureus subsp. aureus HO 5096 0412 complete genome [11-NOV-2016],Staphylococcus aureus,
ENA|CP000736|CP000736.1,Staphylococcus aureus subsp. aureus JH1 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP000703|CP000703.1,Staphylococcus aureus subsp. aureus JH9 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP002114|CP002114.2,Staphylococcus aureus subsp. aureus JKD6159 complete genome. [09-SEP-2016],Staphylococcus aureus,
ENA|FR821779|FR821779.1,Staphylococcus aureus subsp. aureus LGA251 complete genome sequence [09-SEP-2016],Staphylococcus aureus,
ENA|CP003166|CP003166.1,Staphylococcus aureus subsp. aureus M013 complete genome. [09-SEP-2016],Staphylococcus aureus,
ENA|BX571856|BX571856.1,Staphylococcus aureus subsp. aureus strain MRSA252 complete genome [24-FEB-2017],Staphylococcus aureus,
ENA|BX571857|BX571857.1,Staphylococcus aureus strain MSSA476 complete genome [24-FEB-2017],Staphylococcus aureus,
ENA|AP009324|AP009324.1,Staphylococcus aureus subsp. aureus Mu3 DNA complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|BA000017|BA000017.4,Staphylococcus aureus subsp. aureus Mu50 DNA complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|BA000033|BA000033.2,Staphylococcus aureus subsp. aureus MW2 DNA complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|BA000018|BA000018.3,Staphylococcus aureus subsp. aureus N315 DNA complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP000253|CP000253.1,Staphylococcus aureus subsp. aureus NCTC 8325 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP003604|CP003604.1,Staphylococcus aureus subsp. aureus SA40 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP006630|CP006630.1,Staphylococcus aureus subsp. aureus SA268 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP003603|CP003603.1,Staphylococcus aureus subsp. aureus SA957 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|HE579059|HE579059.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 10388 [11-NOV-2016],Staphylococcus aureus,
ENA|HE579061|HE579061.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 10497 [27-FEB-2016],Staphylococcus aureus,
ENA|HE579063|HE579063.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 15532 [27-FEB-2016],Staphylococcus aureus,
ENA|HE579065|HE579065.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 16035 [27-FEB-2016],Staphylococcus aureus,
ENA|HE579067|HE579067.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 16125 [27-FEB-2016],Staphylococcus aureus,
ENA|HE579069|HE579069.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 18341 [11-NOV-2016],Staphylococcus aureus,
ENA|HE579071|HE579071.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 18412 [27-FEB-2016],Staphylococcus aureus,
ENA|HE579073|HE579073.1,Staphylococcus aureus subsp. aureus ST228 complete genome isolate 18583 [27-FEB-2016],Staphylococcus aureus,
ENA|AM990992|AM990992.1,Staphylococcus aureus subsp. aureus ST398 complete genome [24-FEB-2017],Staphylococcus aureus,
ENA|CP010526|CP010526.1,Staphylococcus aureus subsp. aureus ST772-MRSA-V strain DAR4145 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|CP002120|CP002120.1,Staphylococcus aureus subsp. aureus str. JKD6008 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|AP009351|AP009351.1,Staphylococcus aureus subsp. aureus str. Newman DNA complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP002643|CP002643.1,Staphylococcus aureus subsp. aureus T0131 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP002110|CP002110.1,Staphylococcus aureus subsp. aureus TCH60 complete genome. [11-NOV-2016],Staphylococcus aureus,
ENA|FN433596|FN433596.1,Staphylococcus aureus subsp. aureus TW20 complete genome [11-NOV-2016],Staphylococcus aureus,
ENA|CP000255|CP000255.1,Staphylococcus aureus subsp. aureus USA300_FPR3757 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP000730|CP000730.1,Staphylococcus aureus subsp. aureus USA300_TCH1516 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP003033|CP003033.1,Staphylococcus aureus subsp. aureus VC40 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|CP006838|CP006838.1,Staphylococcus aureus subsp. aureus Z172 complete genome. [24-FEB-2017],Staphylococcus aureus,
ENA|CP007176|CP007176.1,Staphylococcus aureus USA300-ISMMS1 complete genome. [27-FEB-2016],Staphylococcus aureus,
ENA|AM295250|AM295250.1,Staphylococcus carnosus subsp. carnosus TM300 complete genome [24-FEB-2017],Staphylococcus carnosus,
ENA|CP009046|CP009046.1,Staphylococcus epidermidis strain SEI complete genome. [27-FEB-2016],Staphylococcus epidermidis,
ENA|AE015929|AE015929.1,Staphylococcus epidermidis ATCC 12228 complete genome. [24-FEB-2017],Staphylococcus epidermidis,
ENA|HG813242|HG813242.1,Staphylococcus epidermidis PM221 complete genome [27-FEB-2016],Staphylococcus epidermidis,
ENA|CP000029|CP000029.1,Staphylococcus epidermidis RP62A complete genome. [24-FEB-2017],Staphylococcus epidermidis,
ENA|CP011116|CP011116.1,Staphylococcus haemolyticus strain Sh29/312/L2 complete genome. [11-NOV-2016],Staphylococcus haemolyticus,
ENA|AP006716|AP006716.1,Staphylococcus haemolyticus JCSC1435 DNA complete genome. [24-FEB-2017],Staphylococcus haemolyticus,
ENA|CP008747|CP008747.1,Staphylococcus hyicus strain ATCC 11249 complete genome. [24-FEB-2017],Staphylococcus hyicus,
ENA|CP001837|CP001837.1,Staphylococcus lugdunensis HKU09-01 complete genome. [11-NOV-2016],Staphylococcus lugdunensis,
ENA|CP004014|CP004014.1,Staphylococcus pasteuri SP1 complete genome. [24-FEB-2017],Staphylococcus pasteuri,
ENA|CP002478|CP002478.1,Staphylococcus pseudintermedius ED99 complete genome. [11-NOV-2016],Staphylococcus pseudintermedius,
ENA|CP002439|CP002439.1,Staphylococcus pseudintermedius HKU10-03 complete genome. [24-FEB-2017],Staphylococcus pseudintermedius,
ENA|AP008934|AP008934.1,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA complete genome. [24-FEB-2017],Staphylococcus saprophyticus,
ENA|CP003668|CP003668.1,Staphylococcus warneri SG1 complete genome. [24-FEB-2017],Staphylococcus warneri,
ENA|CP007208|CP007208.1,Staphylococcus xylosus strain HKUOPL8 complete genome. [27-FEB-2016],Staphylococcus xylosus,
